-0.0537,-0.0559,-0.0457,-0.0491,-0.0292,-0.0204,-0.0169,-0.0096,-0.0039,0.0004,0.0041,0.008,0.0125,0.019,0.0235,0.0432,0.0397,0.0498,0.0472
-0.0683,-0.0733,-0.0663,-0.0544,-0.0363,-0.0287,-0.0209,-0.0131,-0.0063,-0.0005,0.0052,0.012,0.0201,0.0283,0.0359,0.0534,0.0653,0.0725,0.0678
-0.0787,-0.078,-0.0636,-0.0562,-0.0377,-0.0296,-0.0225,-0.0149,-0.0075,-0.0007,0.0062,0.0134,0.0217,0.0294,0.038,0.0565,0.0638,0.0708,0.0787
-0.0882,-0.0852,-0.0754,-0.0557,-0.0403,-0.0309,-0.0255,-0.0142,-0.0068,-0.0001,0.0066,0.0143,0.0233,0.0327,0.0429,0.0585,0.0784,0.0871,0.0912
-0.1061,-0.093,-0.0755,-0.0594,-0.0421,-0.032,-0.0223,-0.0136,-0.0063,-0.0001,0.0065,0.0142,0.0233,0.0339,0.0428,0.0594,0.0758,0.0937,0.1065
-0.1051,-0.0877,-0.0728,-0.0573,-0.041,-0.0324,-0.0225,-0.014,-0.0061,0,0.0062,0.0149,0.0229,0.0336,0.0423,0.0589,0.0747,0.0877,0.1069
-0.0926,-0.0797,-0.0731,-0.058,-0.0424,-0.0327,-0.0235,-0.0154,-0.0064,0,0.0064,0.015,0.0243,0.033,0.0425,0.0579,0.073,0.0796,0.0925
-0.0632,-0.067,-0.0653,-0.0549,-0.0414,-0.0316,-0.0223,-0.0135,-0.0059,0,0.0055,0.0143,0.0232,0.0325,0.0417,0.0533,0.0656,0.0673,0.0635
-0.0387,-0.0219,-0.0201,-0.0258,-0.0244,-0.0202,-0.0104,-0.0086,-0.0043,-0.0028,0.0002,0.0059,0.0131,0.0199,0.0251,0.0264,0.0209,0.0225,0.0393
-0.0326,-0.0192,-0.0001,0.0079,-0.0043,-0.0078,-0.0045,-0.0013,0.0004,0.0016,0.0024,0.0054,0.0085,0.0094,0.005,-0.0072,0.0008,0.0199,0.0333
-0.024,-0.0022,0.0153,0.0274,0.0223,0.0139,0.008,0.0082,0.0055,0.0025,-0.0007,-0.0052,-0.0092,-0.0176,-0.0251,-0.0307,-0.0184,-0.0009,0.0213
0.0068,0.0321,0.0463,0.0483,0.0364,0.0327,0.0193,0.0136,0.0049,-0.007,-0.016,-0.0204,-0.026,-0.0333,-0.0398,-0.0514,-0.0497,-0.0349,-0.0091
0.0098,0.0153,0.0471,0.0441,0.0241,0.0126,0.001,-0.0048,-0.0139,-0.0204,-0.0264,-0.034,-0.0359,-0.047,-0.0534,-0.0736,-0.0765,-0.0444,-0.019
-0.0068,-0.0109,0.0143,0.0329,0.0255,0.019,0.0128,0.0059,-0.0024,-0.0071,-0.0241,-0.044,-0.0535,-0.0604,-0.0682,-0.0752,-0.0566,-0.0316,-0.0351
