0.3808,0.3107,0.2533,0.1808,0.1194,0.099,0.0953,0.0688,0.0376,0.0116,-0.0142,-0.0476,-0.0747,-0.1093,-0.1388,-0.199,-0.272,-0.328,-0.399
0.448,0.3909,0.3361,0.2748,0.1938,0.1568,0.118,0.0813,0.0448,0.0112,-0.0225,-0.059,-0.0988,-0.1388,-0.179,-0.26,-0.322,-0.377,-0.434
0.5088,0.4529,0.3759,0.2984,0.1959,0.1563,0.1184,0.0845,0.0465,0.0088,-0.0251,-0.062,-0.102,-0.1425,-0.1861,-0.289,-0.367,-0.444,-0.499
0.569,0.492,0.392,0.295,0.1933,0.1497,0.1132,0.073,0.0376,0.0007,-0.0356,-0.0758,-0.1162,-0.1637,-0.2125,-0.3141,-0.4111,-0.5123,-0.5882
0.629,0.531,0.417,0.305,0.2021,0.1579,0.1113,0.0726,0.0371,-0.0003,-0.0377,-0.0779,-0.1226,-0.1715,-0.2161,-0.3199,-0.4311,-0.5446,-0.6429
0.635,0.532,0.422,0.305,0.1995,0.1583,0.1127,0.0728,0.0347,-0.0047,-0.0399,-0.0832,-0.1236,-0.1736,-0.2197,-0.3265,-0.4411,-0.5495,-0.6543
0.606,0.512,0.423,0.307,0.2008,0.1559,0.1115,0.0712,0.0298,-0.0072,-0.045,-0.0846,-0.13,-0.1736,-0.2225,-0.3268,-0.4425,-0.5309,-0.6249
0.534,0.48,0.405,0.299,0.1947,0.15,0.1092,0.0642,0.0301,-0.0076,-0.0444,-0.086,-0.127,-0.1712,-0.2172,-0.3219,-0.4299,-0.5023,-0.5575
0.472,0.372,0.292,0.227,0.1546,0.1224,0.0889,0.056,0.0252,-0.003,-0.0343,-0.07,-0.1053,-0.1404,-0.174,-0.2482,-0.3119,-0.3899,-0.491
0.477,0.36,0.24,0.147,0.1068,0.1066,0.0785,0.0477,0.0178,-0.0108,-0.0409,-0.0674,-0.1033,-0.1234,-0.1429,-0.1822,-0.2755,-0.3958,-0.5133
0.329,0.308,0.214,0.125,0.0679,0.0655,0.0611,0.0403,0.0141,-0.0146,-0.0435,-0.0673,-0.087,-0.1085,-0.1282,-0.184,-0.2735,-0.3657,-0.3888
0.211,0.194,0.143,0.098,0.0449,0.0275,0.0208,0.008,-0.0146,-0.0327,-0.0541,-0.0864,-0.1135,-0.1336,-0.1553,-0.2093,-0.2535,-0.3041,-0.3228
0.127,0.107,0.086,0.058,0.02,0.0031,-0.0113,-0.0201,-0.0518,-0.0706,-0.0992,-0.1222,-0.1443,-0.1644,-0.1838,-0.2209,-0.2497,-0.2702,-0.2901
0.16,0.111,0.106,0.118,0.0969,0.0713,0.0409,0.0198,0.0042,-0.0141,-0.0685,-0.107,-0.1453,-0.1722,-0.1907,-0.2118,-0.2,-0.2041,-0.2526
